generation,best_fitness,average_fitness,std_dev_fitness,mutation_rate,mutation_strength,best_weight_0,best_weight_1,best_weight_2,best_weight_3,best_weight_4,best_weight_5,best_weight_6
1,1259.67,199.74,193.05,0.1000,0.2500,-0.6693268348101191,0.05718062543127189,-0.07543481770915639,0.5857723314894037,0.09780427296662597,0.06918412227501358,-0.606051704103187
2,1777.00,642.48,322.38,0.0900,0.2400,-0.6895901193033814,0.034263098187334334,-0.3342782078104089,0.7123377634326141,0.3359276957500704,0.7424548485845912,-0.25759330999792523
3,2528.00,1059.43,449.49,0.0800,0.2300,0.027611346335117776,-0.0764188724737889,-0.07764888920509158,0.7970224395921799,0.520570491924626,0.3670925946865408,-0.15698574547439786
4,2587.00,1244.90,597.11,0.0700,0.2200,-0.5227211910056262,-0.1479300804459059,-0.5032973907645932,-0.1304378895998176,0.7529887294615589,0.6239167716115384,-0.20640325770446316
5,2912.00,1329.30,723.32,0.0600,0.2100,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
6,2912.00,1402.07,778.27,0.0500,0.2000,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
7,2912.00,1682.94,894.99,0.0400,0.1900,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
8,2912.00,2004.67,960.70,0.0300,0.1800,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
9,2912.00,2450.99,831.51,0.0200,0.1700,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
10,2912.00,2596.39,692.14,0.0100,0.1600,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
11,2912.00,2647.86,657.12,0.0100,0.1500,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
12,2912.00,2670.34,592.96,0.0100,0.1400,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
13,2912.00,2567.94,732.19,0.0100,0.1300,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
14,2912.00,2552.47,731.14,0.0100,0.1200,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
15,2912.00,2610.72,693.32,0.0100,0.1100,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
16,2912.00,2540.90,726.92,0.0100,0.1000,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
17,2912.00,2720.47,547.54,0.0100,0.0900,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
18,2912.00,2569.49,741.91,0.0100,0.0800,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
19,2912.00,2504.79,758.46,0.0100,0.0700,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
20,2912.00,2532.96,742.61,0.0100,0.0600,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
21,2912.00,2507.19,768.15,0.0250,0.0750,-0.13079158134536775,0.017707673562307374,-0.13045749405202245,0.5240275083255854,0.5149071852036656,0.40385754324731166,-0.15388830103309697
