generation,best_fitness,average_fitness,std_dev_fitness,mutation_rate,mutation_strength,best_weight_0,best_weight_1,best_weight_2,best_weight_3,best_weight_4,best_weight_5,best_weight_6
1,1093.60,185.21,175.88,0.1000,0.2500,-0.3177997137114239,-0.9160921416710099,-0.0036245673086516828,-0.23928257423550803,0.5722853748856433,0.4098141522492229,-0.5825144927675536
2,1303.40,559.78,229.63,0.0900,0.2400,-0.438759572873677,-0.2055140855216283,-0.3051552845544062,-0.7182668191309751,0.5550454245341148,0.5108762824548922,0.7456204900999546
3,1666.60,767.46,279.56,0.0800,0.2300,-0.3311097918283127,-0.16742115960718898,-0.29315131260368527,-0.34522995386649696,0.6005350946990102,0.3852921638808916,-0.2192270577411594
4,1853.60,968.30,349.99,0.0700,0.2200,-0.5503245419789884,-0.3423209099245689,-0.35314498342708006,-0.7336773199686164,0.7150228727945185,0.3249079838146997,-0.10199372467779999
5,1872.20,1098.36,368.24,0.0600,0.2100,-0.5687918113864568,-0.354009549412678,-0.4497983608253884,-0.7364978738173511,0.7000690025791161,0.32929230909554874,-0.11127326280839281
6,2207.00,1293.29,407.38,0.0500,0.2000,-0.36400803539094906,-0.19366891246611184,-0.3021547505274932,-0.4035254656991104,0.6177166338342293,0.376230121012963,-0.2016334845800142
7,2312.80,1284.59,491.03,0.0400,0.1900,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
8,2312.80,1456.84,577.00,0.0300,0.1800,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
9,2312.80,1544.49,662.52,0.0200,0.1700,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
10,2312.80,2111.03,499.64,0.0100,0.1600,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
11,2312.80,2234.25,315.33,0.0100,0.1500,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
12,2312.80,2193.74,394.86,0.0100,0.1400,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
13,2312.80,2196.69,385.89,0.0100,0.1300,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
14,2312.80,2266.04,261.07,0.0100,0.1200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
15,2312.80,2194.69,387.25,0.0100,0.1100,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
16,2312.80,2184.95,391.60,0.0100,0.1000,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
17,2312.80,2210.98,368.86,0.0100,0.0900,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
18,2312.80,2245.63,293.12,0.0100,0.0800,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
19,2312.80,2240.13,292.26,0.0100,0.0700,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
20,2312.80,2221.68,337.56,0.0100,0.0600,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.32902033826269894,-0.08220933313780937
21,2971.20,2232.67,333.47,0.0100,0.0500,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
22,2971.20,2171.85,434.59,0.0100,0.0400,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
23,2971.20,2009.53,672.20,0.0100,0.0300,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
24,2971.20,2486.27,823.73,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
25,2971.20,2733.78,645.43,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
26,2971.20,2682.25,706.18,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
27,2971.20,2728.39,645.12,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
28,2971.20,2734.45,631.26,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
29,2971.20,2815.04,555.70,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
30,2971.20,2716.67,672.32,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
31,2971.20,2773.09,599.27,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
32,2971.20,2744.67,641.05,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
33,2971.20,2764.77,623.37,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
34,2971.20,2727.28,644.67,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
35,2971.20,2779.51,596.26,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
36,2971.20,2768.52,590.23,0.0100,0.0200,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
37,2971.20,2510.79,860.37,0.0250,0.0350,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
38,2971.20,2407.81,893.63,0.0400,0.0500,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
39,2971.20,2283.73,934.38,0.0550,0.0650,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
40,2971.20,2212.73,981.58,0.0700,0.0800,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
41,2971.20,2084.15,992.97,0.0850,0.0950,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
42,2971.20,1993.25,1014.31,0.1000,0.1100,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
43,2971.20,1977.57,994.21,0.1150,0.1250,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
44,2971.20,1805.76,980.93,0.1300,0.1400,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
45,2971.20,1616.84,979.77,0.1450,0.1550,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
46,2971.20,1796.70,1008.92,0.1600,0.1700,-0.5625821107876533,-0.3496926099236629,-0.42892582107205346,-0.7317535310412904,0.7019747652391948,0.3439016221524565,-0.08220933313780937
