generation,best_fitness,average_fitness,std_dev_fitness,mutation_rate,mutation_strength,best_weight_0,best_weight_1,best_weight_2,best_weight_3,best_weight_4,best_weight_5,best_weight_6
1,919.67,194.58,179.76,0.1000,0.2500,-0.2880316938804608,-0.6335752556874152,-0.0462756106892126,-0.6263529877401603,0.9277086805939856,0.4355957081242954,-0.9552832035251229
2,1688.00,708.50,327.25,0.0900,0.2400,-0.17656483324925948,-0.5942987822717247,-0.15452543175075095,-0.47972293277680467,0.8814790160518792,0.5529148967333769,-0.7126902310226959
3,1710.67,907.65,386.54,0.0800,0.2300,-0.24184813175125622,-0.5355188602811707,-0.18667397760291854,-0.3415980399268732,0.7961343315588713,0.47926559023840465,-0.62392735305526
4,2011.67,1137.92,451.12,0.0700,0.2200,0.19276606093218063,-0.6712853931800845,-0.4339136518750554,-0.08042869236436481,0.7016726119097458,0.31786806146102453,-0.2032328137739601
5,3061.67,1095.98,516.75,0.0600,0.2100,-0.24335187896308302,-0.5334476382349276,-0.18846138281429609,-0.33813214495465754,0.7929867888431057,0.47827799407392646,-0.6183497212546096
6,3061.67,1198.53,601.04,0.0500,0.2000,-0.24335187896308302,-0.5334476382349276,-0.18846138281429609,-0.33813214495465754,0.7929867888431057,0.47827799407392646,-0.6183497212546096
7,3061.67,1512.34,907.64,0.0400,0.1900,-0.24335187896308302,-0.5334476382349276,-0.18846138281429609,-0.33813214495465754,0.7929867888431057,0.47827799407392646,-0.6183497212546096
8,3061.67,2013.76,1052.65,0.0300,0.1800,-0.24335187896308302,-0.5334476382349276,-0.18846138281429609,-0.33813214495465754,0.7929867888431057,0.47827799407392646,-0.6183497212546096
9,3061.67,2732.94,771.89,0.0200,0.1700,-0.24335187896308302,-0.5334476382349276,-0.18846138281429609,-0.33813214495465754,0.7929867888431057,0.47827799407392646,-0.6183497212546096
10,3061.67,2838.14,659.38,0.0100,0.1600,-0.24335187896308302,-0.5334476382349276,-0.18846138281429609,-0.33813214495465754,0.7929867888431057,0.47827799407392646,-0.6183497212546096
11,3061.67,2852.88,615.59,0.0100,0.1500,-0.24335187896308302,-0.5334476382349276,-0.18846138281429609,-0.33813214495465754,0.7929867888431057,0.47827799407392646,-0.6183497212546096
12,3061.67,2804.82,666.40,0.0100,0.1400,-0.24335187896308302,-0.5334476382349276,-0.18846138281429609,-0.33813214495465754,0.7929867888431057,0.47827799407392646,-0.6183497212546096
