generation,best_fitness,average_fitness,std_dev_fitness,mutation_rate,mutation_strength,best_weight_0,best_weight_1,best_weight_2,best_weight_3,best_weight_4,best_weight_5,best_weight_6
1,1047.67,168.08,143.03,0.1000,0.2500,-0.858432112430797,-0.5874905700966933,-0.07114201004875143,-0.691005094410382,0.4485978335776193,0.28018866176619484,0.19731430520512405
2,2928.67,564.38,366.63,0.0900,0.2400,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
3,2928.67,952.42,460.72,0.0800,0.2300,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
4,2928.67,1064.93,579.16,0.0700,0.2200,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
5,2928.67,1242.84,712.41,0.0600,0.2100,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
6,2928.67,1476.18,985.59,0.0500,0.2000,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
7,2928.67,2024.66,1071.93,0.0400,0.1900,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
8,2928.67,2059.83,1040.82,0.0300,0.1800,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
9,2928.67,2195.38,1035.36,0.0200,0.1700,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
10,2928.67,2244.91,991.74,0.0100,0.1600,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
11,2928.67,2308.65,985.15,0.0100,0.1500,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
12,2928.67,2360.39,938.20,0.0100,0.1400,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
13,2928.67,2429.88,913.95,0.0100,0.1300,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
14,2928.67,2253.06,994.65,0.0100,0.1200,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
15,2928.67,2303.91,983.49,0.0100,0.1100,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
16,2928.67,2282.59,982.98,0.0100,0.1000,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
17,2928.67,2165.51,1041.98,0.0100,0.0900,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
18,2928.67,2071.56,1076.12,0.0250,0.1050,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
19,2928.67,2025.66,1050.00,0.0400,0.1200,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
20,2928.67,1825.76,1075.96,0.0550,0.1350,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
21,2928.67,1848.04,1043.08,0.0700,0.1500,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
22,2928.67,1705.46,1041.95,0.0850,0.1650,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
23,2928.67,1730.15,1029.01,0.1000,0.1800,-0.17760364962158995,-0.4563535026303727,-0.19266098257989744,-0.08920183096458262,0.6978127588262517,0.603060343164657,-0.49732911487238074
